boundary_error_ratio,boundary_local_snr,boundary_sec,case_id,case_type,checkpoint_best_snr,checkpoint_epoch,crest,duration_sec,hf_energy_ratio_3500_9000,inserted_silence_sec,latent_dim,local_snr_mean,local_snr_min,local_snr_p10,peak,post_boundary_snr,pre_boundary_snr,rms,run,silence_frac,snr,source_a,source_b,spectral_centroid,total_stride
0.15503069910082692,18.95512333312056,3.5852154195011336,silence_013,silence,23.20932652510616,11,10.937859225651717,6.936961451247165,0.1756671667098999,0.3050266772285032,256,18.196365720190787,-66.46383137155291,4.844642155876843,0.712921142579125,21.697052201604055,22.07515101916167,0.06517922089326475,V16.1,0.05594926778242678,21.66245112840505,LJ003-0260,,1628.8125451631602,128
nan,nan,nan,full_014,full,23.20932652510616,11,8.512806791735471,6.820861678004535,0.17008841037750244,0.0,256,21.249795035700156,-9.664241166814762,11.634596449653502,0.5941162109385,nan,nan,0.06979087220759853,V16.1,0.016941489361702127,23.01990254207766,LJ032-0003,,1744.513683533527,128
0.18662541836087607,14.694843256140746,5.0679818594104304,silence_014,silence,23.20932652510616,11,8.677841043307005,7.087891156462585,0.17008839547634125,0.2711213577804705,256,18.8804780617756,-66.46414700922206,9.31500390222231,0.5941162109385,27.812032698383106,23.23572837825987,0.06846359687448396,V16.1,0.05440596846846847,22.992502870246234,LJ032-0003,,1744.513564027699,128
nan,nan,nan,full_015,full,23.20932652510616,11,7.23600132165256,5.938503401360544,0.043041739612817764,0.0,256,21.165592313534574,-9.860275879351773,5.606696388664935,0.457244873047875,nan,nan,0.06319026942026777,V16.1,0.020451490713587487,24.87815188052376,LJ040-0156,,876.5955327296715,128
0.8103950360527946,24.436975574599668,1.6491156462585035,silence_015,silence,23.20932652510616,11,7.4279709708375385,6.257777777777778,0.04304172098636627,0.3206945549687946,256,17.12253286131551,-66.46419738429789,-4.589061907393263,0.457244873047875,25.63451203212314,29.010537467008156,0.061557170166066294,V16.1,0.07062413033395176,24.715456884298682,LJ040-0156,,876.5954658991809,128
nan,nan,nan,full_016,full,23.20932652510616,11,9.065567621371988,5.996553287981859,0.10596775263547897,0.0,256,21.850913635474175,-12.06808575815125,9.845112766674914,0.6495361328135,nan,nan,0.07164869977619043,V16.1,0.021282066795740563,24.0842801535825,LJ037-0185,,1125.8906047452472,128
0.2663381691725465,23.570628399333803,3.7737414965986393,silence_016,silence,23.20932652510616,11,9.230805622274392,6.217142857142857,0.10596764832735062,0.22240484132255495,256,20.075589211352966,-66.45483006182579,8.02596498528754,0.6495361328135,25.862048657548836,28.203379605558187,0.07036613697475182,V16.1,0.056255835667600375,24.073265321956434,LJ037-0185,,1125.890667044194,128
nan,nan,nan,full_017,full,23.20932652510616,11,9.780138119211012,6.437732426303855,0.18107512593269348,0.0,256,18.81911561262311,-11.093228979961351,4.32661551329409,0.631011962891625,nan,nan,0.06451973941373643,V16.1,0.023416366095581606,23.01935389685022,LJ028-0172,,1994.6354381438014,128
0.2894394572137168,19.227947261071588,1.5820408163265307,silence_017,silence,23.20932652510616,11,10.002492859068145,6.733786848072563,0.1810753047466278,0.29770861753748534,256,16.19111455759528,-66.47027688526227,-0.5614389948859038,0.631011962891625,22.361881293495713,22.135111903593682,0.06308546996957407,V16.1,0.06656115301724137,22.8449039145127,LJ028-0172,,1994.6344994592414,128
nan,nan,nan,full_018,full,23.20932652510616,11,7.652222764110403,6.031383219954648,0.12488379329442978,0.0,256,21.453588176337263,-10.220682075697551,11.504898407332293,0.60443115234475,nan,nan,0.07898765770018261,V16.1,0.012293972569778632,23.622346577326503,LJ001-0130,,1462.4816881933607,128
0.4810476182636198,25.623624637898583,4.182358276643991,silence_018,silence,23.20932652510616,11,7.8950954458732605,6.42031746031746,0.12490814924240112,0.3880728733140657,256,17.308016449271843,-66.4636677480834,4.844245793117313,0.60443115234475,21.890185482607972,23.99227119703777,0.07655780179995024,V16.1,0.07200073462929475,23.524471526669725,LJ001-0130,,1462.6803414427097,128
nan,nan,nan,full_019,full,23.20932652510616,11,9.005907973562211,9.154467120181407,0.07475532591342926,0.0,256,20.73240637563509,-5.425030337515678,7.918125911566964,0.634979248047875,nan,nan,0.0705069660830332,V16.1,0.013707791693088143,24.48564318536818,LJ002-0185,,925.0102289837879,128
1.2793694335031376,24.623948964292325,2.872562358276644,silence_019,silence,23.20932652510616,11,9.116588909404383,9.380861678004536,0.07475577294826508,0.22915110085885837,256,19.481823023137444,-66.4609525713105,5.606070123793676,0.634979248047875,25.779111151249047,20.724037761224572,0.0696509686187269,V16.1,0.037805538366336634,24.51522565814551,LJ002-0185,,925.0264295659573,128
nan,nan,nan,full_020,full,23.20932652510616,11,8.294575347960276,9.537596371882087,0.19790726900100708,0.0,256,18.681203055407842,-15.072507598825213,2.6124053010994572,0.463867187501,nan,nan,0.05592416344819572,V16.1,0.031454465916007306,22.525694952616075,LJ019-0167,,1865.639486910456,128
0.8383321365713629,20.32483958120483,7.0968253968253965,silence_020,silence,23.20932652510616,11,8.466955900855973,9.93814058956916,0.19791066646575928,0.40302371774667967,256,16.030481389138174,-66.48247167707146,-7.95134477991628,0.463867187501,23.89010884564104,24.961967837561026,0.05478559153067492,V16.1,0.07070038697429906,22.459352400005965,LJ019-0167,,1865.7004147861765,128
