component,explained_variance_ratio,cumulative_variance,eigenvalue,pca_score_std,max_abs_channel,max_abs_value,l2_norm
55,0.004232530343663724,0.5772846265008194,0.04976280122844989,0.2230757746337551,349,0.15866094467336528,1.0
56,0.00416643158446646,0.5814510580852859,0.048985663405845786,0.22132705077745418,218,0.1654116839160935,1.0
57,0.0041524113538374775,0.5856034694391233,0.04882082443404454,0.22095434920825738,163,0.15540266964615762,1.0
58,0.004115739359565362,0.5897192087986887,0.04838966363578918,0.21997650700879215,187,0.157152150055043,1.0
59,0.004071294582352504,0.5937905033810412,0.04786711649861456,0.21878554910828676,258,0.17437441176621482,1.0
60,0.004049546432572117,0.5978400498136134,0.04761141866145005,0.2182004093979891,9,0.15237906696282633,1.0
61,0.0040036692310789984,0.6018437190446924,0.047072030193216784,0.216960895539304,294,0.1596201779354866,1.0
62,0.003951758760638136,0.6057954778053305,0.046461707239220454,0.21554977902846584,223,0.16325449144494444,1.0
63,0.003923509841414728,0.6097189876467453,0.04612957840892453,0.21477797468298404,336,0.14426167044721527,1.0
64,0.0038954667348617728,0.613614454381607,0.04579986936400012,0.2140090403791394,19,0.19391105985190402,1.0
65,0.0038365051232443458,0.6174509595048513,0.04510664457391219,0.21238324927807323,8,0.1580251561975922,1.0
66,0.0038319656685634343,0.6212829251734148,0.04505327319494265,0.21225756333978454,208,0.1576234570863072,1.0
67,0.003785077137909224,0.625068002311324,0.04450199430468434,0.2109549579997691,127,0.16336414940692112,1.0
68,0.0037585878180409387,0.6288265901293649,0.04419055347561724,0.21021549294858655,154,0.15310029318358434,1.0
69,0.0036805938184749734,0.6325071839478399,0.043273560664632844,0.2080229810973606,240,0.16970994446785642,1.0
70,0.0036454509468013797,0.6361526348946412,0.04286037810108478,0.2070274815117181,230,0.1415411722446792,1.0
71,0.003596719922077077,0.6397493548167184,0.04228743659798499,0.2056390930683779,301,0.16056126059864068,1.0
72,0.0035920352002832426,0.6433413900170016,0.04223235728123865,0.20550512714100017,377,0.1667216593391723,1.0
73,0.0035706263203050268,0.6469120163373067,0.041980648314645035,0.2048917966016332,181,0.16024885384769044,1.0
74,0.003523151129953637,0.6504351674672603,0.04142247193576194,0.20352511377164723,88,0.14857639634670544,1.0
75,0.003479344308770197,0.6539145117760304,0.04090742538960658,0.20225584142270547,20,0.19929954204326972,1.0
76,0.0034437491737016146,0.657358260949732,0.04048892546466938,0.20121860118952567,270,0.1727936428474247,1.0
77,0.003405799493419039,0.6607640604431511,0.04004274262763144,0.20010682803850408,213,0.15027774955023368,1.0000000000000002
