channel,mean
301,0.00023782397335880175
302,-0.00689961277777686
303,0.001181276552085405
304,0.007357085219691376
305,-0.007230412816352509
306,-0.00010103211870596707
307,0.005818936393542587
308,0.00986035584255265
309,-0.04879271936579947
310,-0.011222656439107595
311,0.00878187047245671
312,-0.0017258686713646334
313,-0.0006446939759840213
314,0.001960717214809215
315,0.005334306672086201
316,0.000556754976627475
317,0.009919505915649938
318,-0.0021716358296062746
319,-0.0034486060350929575
320,-0.0010509598843421006
321,-0.001114958145568104
322,0.002267402602794452
323,-0.006956832424821759
324,-0.003776137212068424
325,-0.0017582853915179076
326,-0.006596275393946157
327,0.003076142299781209
328,-0.003736744577003568
329,0.0007536963781990709
330,0.0006367462372893321
331,0.000819033812414035
332,0.0014079127789945248
333,-0.00563384132285747
334,-0.008901292784377807
335,0.0015882010139256768
336,-0.0064604720177733775
337,-0.007158186534419133
338,0.0036737141118894936
339,9.57238048842666e-05
340,0.009294208801384093
341,-0.005028118826633014
342,0.0077889890035902675
343,-0.002071160400193319
344,0.0023914726808160606
345,-2.0174522528434625e-05
346,-0.0043571010049894806
347,0.005311157621949472
348,-0.0024649830509350427
349,-0.010889487867276426
350,0.0029601908847913393
351,-0.0022658288017454622
352,0.004203664998689418
353,0.000624248841826265
354,0.004164429753795019
355,-0.0030619627294860676
356,0.0017230955610396464
357,-0.001451717523161784
358,0.0038565533334895324
359,-0.0014577975658849472
360,0.0021269408025037444
361,0.006357982794665167
362,0.0037496974840718674
363,-0.00454426668194649
364,-0.00018501046167256955
365,0.005720622002105175
366,0.012328808114694684
367,-0.0046350272150838786
368,-0.0032136244042670166
369,0.0008055199499721313
370,0.0031839030698842417
371,0.003577427117160134
372,0.010822238462583969
373,-0.00546188834569824
374,0.0008523599286718877
375,0.004867922547156406
376,0.009126253610316904
377,0.0083100126569235
378,0.002915737157685162
379,0.01164555008107256
380,-0.004577876292371935
381,-0.002665192862305452
382,0.0033433788812417525
383,-0.002319900105570895
